Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,57242;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,57242;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,57938;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,57939;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,59948;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,59948;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,60741;0;0;Telematics device fault: Collision data is unavailable for 10 minutes due to excessive logging of Collision events. If this fault occurs three consecutive times then the GO device disables logging any suspected Collisions until the device is reset.;0;Telematics Device;Telematics device;616
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,61435;0;0;Collision Detection disabled due to excessive data volume.;0;Telematics Device;Telematics device;637
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,62095;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,62095;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,68902;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,68902;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,69283;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,69284;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,69486;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,69486;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
